epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1930.97,1.01473,0.68514,1.20461,0.93336,0.91189,0.93952,0.64616,1.12707,0.58747,1.3261,0.000687804,0.000687804,0.000687804
91,1952.06,1.00219,0.68517,1.21693,0.93285,0.89675,0.9362,0.64918,1.14145,0.59777,1.32983,0.000676802,0.000676802,0.000676802
92,1973.56,1.07109,0.73232,1.24736,0.90054,0.91726,0.95027,0.66072,1.12361,0.54248,1.317,0.0006658,0.0006658,0.0006658
93,1994.88,1.01738,0.70114,1.22591,0.91329,0.92116,0.95533,0.65198,1.1471,0.53401,1.33772,0.000654798,0.000654798,0.000654798
94,2015.2,1.02031,0.70016,1.22157,0.91463,0.9182,0.94833,0.64517,1.11703,0.56672,1.317,0.000643795,0.000643795,0.000643795
95,2035.91,1.01421,0.68204,1.23339,0.91969,0.90417,0.93623,0.62396,1.18325,0.59246,1.35097,0.000632793,0.000632793,0.000632793
96,2056.52,0.98967,0.69719,1.2063,0.91989,0.89644,0.94302,0.6615,1.13882,0.55554,1.33758,0.000621791,0.000621791,0.000621791
97,2078.17,0.99532,0.69804,1.23421,0.886,0.9329,0.9467,0.65149,1.14985,0.59584,1.34738,0.000610789,0.000610789,0.000610789
98,2099.29,0.99177,0.6812,1.19418,0.89456,0.81005,0.84761,0.51163,1.4134,1.3299,1.51236,0.000599787,0.000599787,0.000599787
99,2120.46,0.97101,0.68225,1.19537,0.89869,0.90839,0.93373,0.65295,1.11657,0.56403,1.31412,0.000588784,0.000588784,0.000588784
100,2141.03,0.97683,0.68242,1.21123,0.91081,0.90678,0.95366,0.64871,1.13506,0.51554,1.3413,0.000577782,0.000577782,0.000577782
101,2161.43,0.99032,0.65627,1.20679,0.93511,0.90839,0.95776,0.66529,1.12531,0.51106,1.32324,0.00056678,0.00056678,0.00056678
102,2183.16,1.00831,0.68564,1.217,0.92884,0.91789,0.94906,0.65877,1.12547,0.53052,1.33332,0.000555778,0.000555778,0.000555778
103,2205.97,0.97514,0.68528,1.21108,0.91215,0.91196,0.93881,0.66374,1.10355,0.58347,1.29689,0.000544776,0.000544776,0.000544776
104,2227.87,1.01022,0.69617,1.21389,0.91644,0.91064,0.92811,0.63593,1.18464,0.58428,1.3536,0.000533773,0.000533773,0.000533773
105,2249.94,0.99687,0.68732,1.20572,0.91593,0.90288,0.93331,0.65152,1.11779,0.54544,1.31389,0.000522771,0.000522771,0.000522771
106,2270.93,1.00553,0.66681,1.21379,0.88969,0.94945,0.95987,0.66576,1.12954,0.52601,1.31653,0.000511769,0.000511769,0.000511769
107,2292.54,0.98606,0.6701,1.20111,0.92801,0.90144,0.94048,0.64986,1.15714,0.59001,1.34141,0.000500767,0.000500767,0.000500767
108,2313.14,0.98803,0.67643,1.21412,0.9288,0.91299,0.9491,0.63846,1.18129,0.52684,1.35424,0.000489765,0.000489765,0.000489765
109,2334.61,1.01393,0.68719,1.21237,0.9167,0.92225,0.94266,0.6448,1.19027,0.54082,1.34773,0.000478762,0.000478762,0.000478762
110,2356.05,0.97938,0.65777,1.20354,0.93431,0.91202,0.94105,0.65311,1.13775,0.58429,1.33049,0.00046776,0.00046776,0.00046776
111,2380.63,0.95909,0.63861,1.17171,0.90554,0.9326,0.94485,0.65483,1.12809,0.54556,1.33083,0.000456758,0.000456758,0.000456758
112,2407.64,0.97297,0.68099,1.18501,0.91539,0.91748,0.94617,0.65912,1.13689,0.54948,1.33128,0.000445756,0.000445756,0.000445756
113,2427.18,0.98019,0.65513,1.18524,0.92292,0.89598,0.9154,0.62228,1.20647,0.60001,1.37906,0.000434754,0.000434754,0.000434754
114,2450.82,0.96952,0.66451,1.18108,0.93637,0.90247,0.94386,0.64825,1.14769,0.53691,1.33804,0.000423751,0.000423751,0.000423751
115,2472,0.96028,0.64958,1.18027,0.92694,0.91497,0.93842,0.64592,1.14689,0.55075,1.33132,0.000412749,0.000412749,0.000412749
116,2494.27,0.97186,0.66419,1.19821,0.9266,0.90014,0.94474,0.65804,1.13776,0.55332,1.33021,0.000401747,0.000401747,0.000401747
117,2515.83,0.93869,0.65453,1.17059,0.91528,0.90319,0.93681,0.65543,1.12354,0.55588,1.31548,0.000390745,0.000390745,0.000390745
118,2536.18,0.94426,0.64854,1.17884,0.93327,0.89145,0.94493,0.66233,1.14627,0.55326,1.33547,0.000379743,0.000379743,0.000379743
119,2557.68,0.93418,0.63015,1.17498,0.90823,0.90521,0.93947,0.653,1.15343,0.55502,1.35415,0.00036874,0.00036874,0.00036874
120,2578.74,0.98134,0.64935,1.18344,0.92547,0.91268,0.94031,0.66999,1.10447,0.54452,1.31266,0.000357738,0.000357738,0.000357738
121,2601.75,0.91047,0.64079,1.15747,0.91358,0.92249,0.94347,0.65387,1.14432,0.56829,1.33927,0.000346736,0.000346736,0.000346736
122,2625.91,0.9636,0.65839,1.1881,0.92531,0.89873,0.94491,0.66398,1.10423,0.54497,1.32063,0.000335734,0.000335734,0.000335734
123,2646.69,0.93895,0.61856,1.17956,0.92931,0.91728,0.94117,0.65594,1.09562,0.55701,1.31956,0.000324732,0.000324732,0.000324732
124,2668.12,0.9359,0.64123,1.1735,0.90778,0.93733,0.95762,0.67152,1.12863,0.50487,1.31574,0.000313729,0.000313729,0.000313729
125,2688.96,0.96757,0.64707,1.18999,0.91253,0.89948,0.9423,0.66357,1.0944,0.56019,1.30412,0.000302727,0.000302727,0.000302727
126,2711.08,0.93444,0.6163,1.17132,0.92523,0.90288,0.94138,0.6655,1.08473,0.54605,1.29861,0.000291725,0.000291725,0.000291725
127,2731.29,0.919,0.62926,1.1673,0.90794,0.91964,0.94355,0.66555,1.10025,0.57539,1.2995,0.000280723,0.000280723,0.000280723
128,2752.92,0.92844,0.62286,1.17031,0.91559,0.92684,0.94621,0.66874,1.10083,0.545,1.30858,0.000269721,0.000269721,0.000269721
